"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-14",,"45","8","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-15",,"48","23","36"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-16",,"36","8","13"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-17",,"36","8","17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-18",,"36","17","24"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-19",,"48","24","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-20",,"34","28","28"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-21",,"43","19","19"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-22",,"52","19","29"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-23",,"31","10","11"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-24",,"27","10","10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-25",,"35","7","17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-26",,"23","4","5"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-27",,"40","5","37"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-28",,"39","32","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-29",,"46","30","41"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-30",,"61","23","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-31",,"57","35","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-01",,"67","27","27"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-02",,"42","19","22"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-03",,"50","22","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-04",,"41","32","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-05",,"41","20","21"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-06",,"53","21","41"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-07",,"61","33","38"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-08",,"60","33","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-09",,"58","23","24"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-10",,"64","24","50"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-11",,"64","29","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-12",,"59","29","31"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-13",,"67","29","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-14",,"46","31","31"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-15",,"31","14","18"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-16",,"35","18","31"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-17",,"51","31","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-18",,"52","26","29"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-19",,"57","29","33"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-20",,"69","33","56"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-21",,"64","49","52"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-22",,"70","37","38"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-23",,"57","28","30"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-24",,"57","30","36"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-25",,"51","36","40"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-26",,"65","36","36"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-27",,"55","33","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-28",,"51","39","42"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-29",,"45","39","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-30",,"44","39","44"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-01",,"48","40","40"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-02",,"50","39","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-03",,"52","40","45"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-04",,"61","40","42"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-05",,"61","41","44"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-06",,"61","35","41"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-07",,"63","41","48"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-08",,"58","46","53"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-09",,"79","53","65"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-10",,"66","36","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-11",,"78","43","69"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-12",,"70","62","63"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-13",,"78","52","52"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-14",,"56","36","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-15",,"59","39","42"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-16",,"51","30","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-17",,"51","30","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-18",,"63","34","50"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-19",,"73","49","56"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-20",,"67","53","67"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-21",,"84","52","59"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-22",,"80","47","51"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-23",,"73","41","50"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-24",,"74","41","61"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-25",,"84","44","49"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-26",,"84","49","74"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-27",,"81","62","67"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-28",,"81","57","58"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-29",,"76","49","55"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-30",,"85","49","54"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-05-31",,"87","51","63"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-01",,"89","63","70"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-02",,"85","67","71"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-03",,"80","60","60"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-04",,"77","60","62"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-05",,"75","52","56"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-06",,"79","56","60"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-07",,"82","55","80"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-08",,"82","56","71"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-09",,"75","48","60"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-10",,"73","59","61"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-11",,"79","52","59"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-12",,"79","52","59"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-13",,"74","52","54"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-14",,"74","47","58"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-15",,"80","58","67"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-16",,"82","52","69"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-17",,"87","62","64"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-18",,"86","63","63"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-19",,"80","63","65"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-20",,"74","65","67"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-21",,"83","59","69"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-06-22",,"80","59","69"
